,lbp,activation function,color space,hidden nodes,accuracy,balanced accuracy,training time,testing time
0,False,Leaky ReLU,cielab,1000,0.999003984063745,0.99874213836478,0.3519583,0.0159962
1,False,Leaky ReLU,cielab,2000,0.999003984063745,0.99874213836478,0.9923011,0.0400046
2,False,Leaky ReLU,cielab,3000,0.317729083665339,0.301802791244689,2.0709549,0.0439616
3,False,Leaky ReLU,cielab,4000,0.604581673306773,0.594530077022924,3.7986922,0.0639614
4,False,Leaky ReLU,cielab,5000,0.898406374501992,0.894935070762853,5.6880493,0.0801201
5,False,Leaky ReLU,cielab,6000,0.968127490039841,0.964780673961509,7.4622821,0.1080162
6,False,Leaky ReLU,cielab,7000,0.957171314741036,0.954735114924904,10.1302849,0.1219985
7,False,Leaky ReLU,cielab,8000,0.879482071713147,0.877466943450499,17.9226467,0.1640905
8,False,Leaky ReLU,cielab,9000,0.98406374501992,0.983870123533436,18.5801222,0.139965
9,False,Leaky ReLU,cielab,10000,0.915338645418327,0.913416348003608,21.2632753,0.1479859
10,False,Leaky ReLU,hsv,1000,1.0,1.0,0.3480029,0.0160003
11,False,Leaky ReLU,hsv,2000,1.0,1.0,1.1086556,0.0280101
12,False,Leaky ReLU,hsv,3000,0.997011952191235,0.996549697290308,2.2149827,0.0520299
13,False,Leaky ReLU,hsv,4000,0.977091633466136,0.975105363130602,3.4727949,0.0640183
14,False,Leaky ReLU,hsv,5000,0.99402390438247,0.993687744428355,5.3160172,0.1130008
15,False,Leaky ReLU,hsv,6000,0.99601593625498,0.995304756108164,7.3698576,0.0989575
16,False,Leaky ReLU,hsv,7000,0.901394422310757,0.900871658613935,10.2694677,0.1105099
17,False,Leaky ReLU,hsv,8000,0.99601593625498,0.995636691817459,13.4092207,0.1209602
18,False,Leaky ReLU,hsv,9000,0.99800796812749,0.99748427672956,17.424312,0.1388122
19,False,Leaky ReLU,hsv,10000,0.965139442231076,0.963104093460718,24.8115675,0.1480594
20,False,Leaky ReLU,rgb,1000,0.99601593625498,0.996304830175798,0.3640635,0.0149683
21,False,Leaky ReLU,rgb,2000,0.99402390438247,0.994452858690121,1.0015427,0.0359979
22,False,Leaky ReLU,rgb,3000,0.827689243027889,0.828609584237396,2.0289008,0.0440189
23,False,Leaky ReLU,rgb,4000,0.98804780876494,0.988224658568826,3.4975691,0.0640028
24,False,Leaky ReLU,rgb,5000,0.339641434262948,0.347987870766325,5.4771079,0.0729654
25,False,Leaky ReLU,rgb,6000,0.991035856573705,0.991006822920179,7.5753067,0.0999552
26,False,Leaky ReLU,rgb,7000,0.991035856573705,0.990989635527351,10.1569778,0.1119956
27,False,Leaky ReLU,rgb,8000,0.99800796812749,0.998143761574573,13.5411085,0.1272782
28,False,Leaky ReLU,rgb,9000,0.997011952191235,0.996562617743385,18.8114961,0.147035
29,False,Leaky ReLU,rgb,10000,0.999003984063745,0.999078341013825,21.9806546,0.1600009
30,False,Logistic,cielab,1000,0.5199203187251,0.520653955135699,0.4560009,0.0359948
31,False,Logistic,cielab,2000,0.854581673306773,0.858315516033191,1.4774814,0.0840077
32,False,Logistic,cielab,3000,0.840637450199203,0.844598894106292,2.366401,0.0960366
33,False,Logistic,cielab,4000,0.810756972111554,0.813959663685063,3.9774085,0.1350401
34,False,Logistic,cielab,5000,0.76792828685259,0.773495562996903,6.1487532,0.1669674
35,False,Logistic,cielab,6000,0.726095617529881,0.727977185201689,8.9103635,0.2280265
