,lbp,activation function,color space,hidden nodes,accuracy,balanced accuracy,training time,testing time
0,False,Leaky ReLU,cielab,1000,0.999003984063745,0.99874213836478,0.2920045,0.0199957
2,False,Leaky ReLU,cielab,2000,0.9920318725099602,0.9912560766082644,0.9350133,0.0279931
4,False,Leaky ReLU,cielab,3000,0.947211155378486,0.9457854804532296,1.8880361,0.0440018
6,False,Leaky ReLU,cielab,4000,0.9033864541832668,0.8997981758907464,3.2696809,0.0599568
8,False,Leaky ReLU,cielab,5000,0.795816733067729,0.7944752863043999,4.8814601,0.0879986
10,False,Leaky ReLU,cielab,6000,0.9462151394422312,0.9449975575820992,7.3242381,0.0907428
12,False,Leaky ReLU,cielab,7000,0.4960159362549801,0.4921734740583893,9.8559714,0.1039977
14,False,Leaky ReLU,cielab,8000,0.9850597609561752,0.9841235245274472,13.3382511,0.1399959
16,False,Leaky ReLU,cielab,9000,0.8655378486055777,0.8647913005779287,18.1928039,0.1327895
18,False,Leaky ReLU,cielab,10000,0.9910358565737052,0.991351679082551,23.0860713,0.1462789
19,False,Leaky ReLU,hsv,1000,1.0,1.0,0.3097952,0.0160011
21,False,Leaky ReLU,hsv,2000,0.999003984063745,0.99874213836478,0.9278356,0.0320042
23,False,Leaky ReLU,hsv,3000,0.999003984063745,0.99874213836478,1.8230466,0.0439556
25,False,Leaky ReLU,hsv,4000,0.999003984063745,0.9990654205607477,3.1887835,0.0600405
27,False,Leaky ReLU,hsv,5000,1.0,1.0,5.1781828,0.0816183
29,False,Leaky ReLU,hsv,6000,0.99800796812749,0.9978075589255276,7.011681200000001,0.0913487
31,False,Leaky ReLU,hsv,7000,0.99800796812749,0.9978075589255276,10.3831519,0.1039682
33,False,Leaky ReLU,hsv,8000,1.0,1.0,13.5799447,0.1259643
35,False,Leaky ReLU,hsv,9000,1.0,1.0,17.1238105,0.1440838
37,False,Leaky ReLU,hsv,10000,1.0,1.0,21.9505424,0.1559971
38,False,Leaky ReLU,rgb,1000,0.9930278884462151,0.9931907301151504,0.2945441,0.0160024
40,False,Leaky ReLU,rgb,2000,0.9910358565737052,0.991351679082551,0.940005,0.0280024
42,False,Leaky ReLU,rgb,3000,0.9900398406374502,0.9903869917973932,1.8782352,0.048001
44,False,Leaky ReLU,rgb,4000,0.9840637450199204,0.9845381422579504,3.2741606,0.0637475
46,False,Leaky ReLU,rgb,5000,0.99402390438247,0.9941166560410764,4.8265517,0.0782242
