,lbp,activation function,color space,hidden nodes,accuracy,balanced accuracy,training time,testing time
0,False,Leaky ReLU,cielab,1000,0.9603448275862068,0.975624453843196,0.231998,0.0160044
1,False,Leaky ReLU,cielab,1500,0.8258620689655173,0.880443952929846,0.4759313,0.0559948
2,False,Leaky ReLU,cielab,2000,0.321551724137931,0.3518994738884557,0.7790255,0.0359863
3,False,Leaky ReLU,cielab,2500,0.8732758620689656,0.9136145606068472,1.1601556000000002,0.0519988
4,False,Leaky ReLU,cielab,3000,0.6068965517241379,0.6309516021342078,1.694965,0.0640012
5,False,Leaky ReLU,cielab,3500,0.8612068965517241,0.897567199614501,2.4023596,0.0599781
6,False,Leaky ReLU,cielab,4000,0.6344827586206897,0.6814160755113259,3.1822183,0.0656093
7,False,Leaky ReLU,cielab,4500,0.7603448275862069,0.8214358905961265,3.6099621,0.0759916
8,False,Leaky ReLU,cielab,5000,0.45,0.4874342107855224,4.5431362,0.0786182
9,False,Leaky ReLU,cielab,5500,0.3741379310344828,0.2513065102905482,5.456382700000001,0.0999996
10,False,Leaky ReLU,cielab,6000,0.725,0.7891471444720372,6.6007274,0.0970388
11,False,Leaky ReLU,cielab,6500,0.7206896551724138,0.764659184471738,7.350568000000001,0.1049715
12,False,Leaky ReLU,cielab,7000,0.7939655172413793,0.8458765538850391,8.7059435,0.1121726
13,False,Leaky ReLU,cielab,7500,0.8974137931034483,0.9318549744626268,10.0344479,0.1160244
14,False,Leaky ReLU,cielab,8000,0.8543103448275862,0.90503408745311,11.4947635,0.1266112
15,False,Leaky ReLU,cielab,8500,0.6931034482758621,0.7468942839855737,13.1770598,0.1287262
16,False,Leaky ReLU,cielab,9000,0.8120689655172414,0.8715796972935284,15.0602925,0.1366863
17,False,Leaky ReLU,cielab,9500,0.8853448275862069,0.9246544431612882,17.1032857,0.1483161
18,False,Leaky ReLU,cielab,10000,0.7508620689655172,0.8104604184875803,19.4655781,0.1504043
19,False,Leaky ReLU,hsv,1000,0.9646551724137932,0.9780950050683352,0.2433021,0.0208552
20,False,Leaky ReLU,hsv,1500,0.9577586206896552,0.97254710056276,0.458123,0.0279903
21,False,Leaky ReLU,hsv,2000,0.9551724137931036,0.9719137334405256,0.8165475000000001,0.0440035
22,False,Leaky ReLU,hsv,2500,0.9655172413793104,0.97804886574155,1.2019465,0.0439997
23,False,Leaky ReLU,hsv,3000,0.9706896551724138,0.9812450627424936,1.6599818000000002,0.0479615
24,False,Leaky ReLU,hsv,3500,0.9732758620689655,0.983422000069908,2.390018,0.0559985
25,False,Leaky ReLU,hsv,4000,0.975,0.984358768219791,2.8653790000000003,0.0646415
26,False,Leaky ReLU,hsv,4500,0.9758620689655172,0.985084413995596,3.6573903,0.0760004
27,False,Leaky ReLU,hsv,5000,0.978448275862069,0.9864895662204202,4.3828059,0.0822658
28,False,Leaky ReLU,hsv,5500,0.9793103448275862,0.987215211996225,5.4412807,0.0900072
29,False,Leaky ReLU,hsv,6000,0.978448275862069,0.9867468279212834,6.583723,0.0983292
30,False,Leaky ReLU,hsv,6500,0.9793103448275862,0.987215211996225,7.3881705,0.1050004
31,False,Leaky ReLU,hsv,7000,0.9793103448275862,0.9873438428466564,8.777663200000001,0.1115131
32,False,Leaky ReLU,hsv,7500,0.9801724137931036,0.9881981194728932,10.0414536,0.1154374
33,False,Leaky ReLU,hsv,8000,0.9801724137931036,0.9883267503233248,11.3921857,0.124475
34,False,Leaky ReLU,hsv,8500,0.9793103448275862,0.9877297353979516,13.2334378,0.1361876
35,False,Leaky ReLU,hsv,9000,0.978448275862069,0.9871327204725786,14.895358900000002,0.1384306
36,False,Leaky ReLU,hsv,9500,0.9801724137931036,0.9880694886224614,16.9539374,0.1461994
37,False,Leaky ReLU,hsv,10000,0.9793103448275862,0.9874724736970883,18.8934371,0.1566695
38,False,Leaky ReLU,rgb,1000,0.9241379310344828,0.945673302390528,0.2399987,0.0179981
39,False,Leaky ReLU,rgb,1500,0.9103448275862068,0.9363320185412494,0.4679577,0.0320014
40,False,Leaky ReLU,rgb,2000,0.9215517241379312,0.9439645817206684,0.7925849,0.0359662
41,False,Leaky ReLU,rgb,2500,0.931896551724138,0.954777066216178,1.1777113,0.039973
42,False,Leaky ReLU,rgb,3000,0.9482758620689656,0.9679093991401309,1.6159189,0.0520033
43,False,Leaky ReLU,rgb,3500,0.9560344827586208,0.9727680100667624,2.2450701,0.0559594
44,False,Leaky ReLU,rgb,4000,0.9629310344827586,0.9767723443671572,2.8293044000000003,0.0680438
45,False,Leaky ReLU,rgb,4500,0.9655172413793104,0.9786920199937084,3.5433419,0.0777296
46,False,Leaky ReLU,rgb,5000,0.9698275862068966,0.9811625712188472,4.3678825,0.0840406
47,False,Leaky ReLU,rgb,5500,0.9698275862068966,0.9814198329197106,5.3848301,0.0976203
48,False,Leaky ReLU,rgb,6000,0.9698275862068966,0.9815484637701424,6.6542629,0.1090722
49,False,Leaky ReLU,rgb,6500,0.9689655172413794,0.9809514488447691,7.756796700000001,0.106231
50,False,Leaky ReLU,rgb,7000,0.9663793103448276,0.977944302271639,8.4805729,0.1102976
51,False,Leaky ReLU,rgb,7500,0.9655172413793104,0.9785633891432768,9.8805536,0.1162704
52,False,Leaky ReLU,rgb,8000,0.9663793103448276,0.9792890349190811,11.351745,0.1305345
53,False,Leaky ReLU,rgb,8500,0.9689655172413794,0.9810800796952008,13.0407307,0.1313865
54,False,Leaky ReLU,rgb,9000,0.9655172413793104,0.9786920199937084,14.957585300000002,0.1395958
55,False,Leaky ReLU,rgb,9500,0.9655172413793104,0.9788206508441398,16.7393095,0.1449928
56,False,Leaky ReLU,rgb,10000,0.9646551724137932,0.9786095284700618,18.8374189,0.1542561
57,False,Logistic,cielab,1000,0.4077586206896552,0.4245379150764331,0.29718,0.0231357
58,False,Logistic,cielab,1500,0.675,0.7767155358643891,0.5090807,0.0533717
59,False,Logistic,cielab,2000,0.6870689655172414,0.7697110241367038,0.875722,0.0886675
60,False,Logistic,cielab,2500,0.5603448275862069,0.6782936598051316,1.3070836,0.0960375
61,False,Logistic,cielab,3000,0.6387931034482759,0.7035644624461297,1.8533089,0.1170277
62,False,Logistic,cielab,3500,0.675,0.78365311216659,2.5622363000000004,0.1816348
63,False,Logistic,cielab,4000,0.6758620689655173,0.7576300345655529,3.0789014000000003,0.1588558
64,False,Logistic,cielab,4500,0.6431034482758621,0.7074368914372883,3.9308413,0.1610216
65,False,Logistic,cielab,5000,0.6120689655172413,0.7038746465254212,5.1515589,0.1875304
66,False,Logistic,cielab,5500,0.618103448275862,0.676632111366681,5.699166900000001,0.2010024
67,False,Logistic,cielab,6000,0.5267241379310345,0.5743865761851266,7.0100527,0.219961
68,False,Logistic,cielab,6500,0.6051724137931035,0.6761657154574434,8.1466025,0.2319978
69,False,Logistic,cielab,7000,0.4551724137931034,0.4217960780320693,9.6903135,0.2557163
70,False,Logistic,cielab,7500,0.6612068965517242,0.7402866149556333,12.8933885,0.2778286
71,False,Logistic,cielab,8000,0.5612068965517242,0.6166573070094572,13.2587161,0.287995
72,False,Logistic,cielab,8500,0.5525862068965517,0.6122373871102047,14.810107100000002,0.4007998
73,False,Logistic,cielab,9000,0.7189655172413794,0.7729508902155986,17.3405372,0.3350908
74,False,Logistic,cielab,9500,0.6370689655172413,0.7270556822405678,20.1290004,0.374277
75,False,Logistic,cielab,10000,0.6793103448275862,0.7820311773389197,21.702424500000003,0.3743667
76,False,Logistic,hsv,1000,0.4870689655172414,0.5276620130433596,0.3890634,0.0400882
77,False,Logistic,hsv,1500,0.4853448275862069,0.4830487896985319,0.5163927,0.046875
78,False,Logistic,hsv,2000,0.4862068965517241,0.4685780226407081,0.9169496,0.0891427
79,False,Logistic,hsv,2500,0.5801724137931035,0.6257983703505907,1.4277767,0.1020024
80,False,Logistic,hsv,3000,0.2370689655172413,0.2248388112453854,2.1667522000000004,0.1080024
81,False,Logistic,hsv,3500,0.4456896551724137,0.4014283394365948,2.9051501,0.1473019
82,False,Logistic,hsv,4000,0.6224137931034482,0.7088659451174661,3.3413376,0.1478403
83,False,Logistic,hsv,4500,0.2672413793103448,0.3310983946903735,3.9317237,0.1600006
84,False,Logistic,hsv,5000,0.5620689655172414,0.6397475120051876,5.047189400000001,0.1775259
85,False,Logistic,hsv,5500,0.6474137931034483,0.7062155744779723,5.6488905,0.1955389
86,False,Logistic,hsv,6000,0.6603448275862069,0.753894169736926,6.755293900000001,0.216337
87,False,Logistic,hsv,6500,0.5896551724137931,0.683869067935494,8.049413600000001,0.2459977
88,False,Logistic,hsv,7000,0.325,0.3166548890845734,9.8146721,0.2603381
89,False,Logistic,hsv,7500,0.4793103448275862,0.5496642263560855,11.3574569,0.2879994
90,False,Logistic,hsv,8000,0.5456896551724137,0.6351150787908557,12.7138328,0.2979891
91,False,Logistic,hsv,8500,0.2629310344827586,0.1748020225743572,17.0143001,0.3263074
92,False,Logistic,hsv,9000,0.496551724137931,0.6038092586758362,18.5113232,0.339997
93,False,Logistic,hsv,9500,0.6336206896551724,0.6815488429864078,18.3665217,0.3403232
94,False,Logistic,hsv,10000,0.2870689655172413,0.3200727247552963,21.242201100000003,0.3632337
95,False,Logistic,rgb,1000,0.4491379310344827,0.5141037978699131,0.2886432,0.0468933
96,False,Logistic,rgb,1500,0.5982758620689655,0.6078073405289162,0.6404639000000001,0.0625049
97,False,Logistic,rgb,2000,0.3612068965517241,0.4320141165300633,0.8894359000000001,0.0730833
98,False,Logistic,rgb,2500,0.5620689655172414,0.6577640179106086,1.3329738,0.1002852
99,False,Logistic,rgb,3000,0.4439655172413793,0.5419599141884327,2.2458658,0.1159968
100,False,Logistic,rgb,3500,0.4620689655172413,0.536838812005936,3.4768518000000004,0.19604
101,False,Logistic,rgb,4000,0.425,0.4927818378860717,3.3763082000000004,0.1521797
102,False,Logistic,rgb,4500,0.3698275862068965,0.4525172264271559,4.2284003000000006,0.1600398
103,False,Logistic,rgb,5000,0.5482758620689655,0.6429450362630609,4.879786,0.1805076
104,False,Logistic,rgb,5500,0.4956896551724138,0.6135131717133153,5.7042672,0.1920275
105,False,Logistic,rgb,6000,0.4172413793103448,0.4672502110870662,7.771013900000001,0.2173988
106,False,Logistic,rgb,6500,0.5344827586206896,0.5857610781036598,8.3137045,0.2305355
107,False,Logistic,rgb,7000,0.3810344827586207,0.4754966249403379,9.5704933,0.2960299
108,False,Logistic,rgb,7500,0.4448275862068965,0.5074627580492859,11.2889958,0.2840038
109,False,Logistic,rgb,8000,0.5293103448275862,0.6283423422347516,12.9256053,0.3066311
110,False,Logistic,rgb,8500,0.5146551724137931,0.5467604858682649,14.2723711,0.3199623
111,False,Logistic,rgb,9000,0.2956896551724138,0.4389175023799154,16.8965365,0.3488947
112,False,Logistic,rgb,9500,0.371551724137931,0.4068417152150011,19.6207649,0.3654782
113,False,Logistic,rgb,10000,0.4094827586206896,0.4898923662887262,21.3385117,0.3720283
114,False,Swish,cielab,1000,0.8862068965517241,0.9283507158959754,0.2806159,0.0439691
115,False,Swish,cielab,1500,0.8931034482758621,0.932169138194718,0.5280411,0.0599913
116,False,Swish,cielab,2000,0.8551724137931035,0.8978590796977208,0.8903839,0.0737241
117,False,Swish,cielab,2500,0.8448275862068966,0.8973601396873295,1.4433422,0.0990008
118,False,Swish,cielab,3000,0.8456896551724138,0.9030192563665784,1.7835679000000002,0.1289983
119,False,Swish,cielab,3500,0.878448275862069,0.9220218356124108,2.3959775000000003,0.1413131
120,False,Swish,cielab,4000,0.8862068965517241,0.9277929798910176,3.1191025000000003,0.1800011
121,False,Swish,cielab,4500,0.871551724137931,0.9190586655144232,3.8342444,0.1759948
122,False,Swish,cielab,5000,0.8775862068965518,0.9228397600417864,4.8594404,0.2107217
123,False,Swish,cielab,5500,0.2172413793103448,0.2408033418358789,5.5780759,0.2100995
