,lbp,activation function,color space,hidden nodes,accuracy,balanced accuracy,training time,testing time
0,False,Leaky ReLU,cielab,1000,0.9603448275862068,0.975624453843196,0.231998,0.0160044
2,False,Leaky ReLU,cielab,2000,0.321551724137931,0.3518994738884557,0.7790255,0.0359863
4,False,Leaky ReLU,cielab,3000,0.6068965517241379,0.6309516021342078,1.694965,0.0640012
6,False,Leaky ReLU,cielab,4000,0.6344827586206897,0.6814160755113259,3.1822183,0.0656093
8,False,Leaky ReLU,cielab,5000,0.45,0.4874342107855224,4.5431362,0.0786182
10,False,Leaky ReLU,cielab,6000,0.725,0.7891471444720372,6.6007274,0.0970388
12,False,Leaky ReLU,cielab,7000,0.7939655172413793,0.8458765538850391,8.7059435,0.1121726
14,False,Leaky ReLU,cielab,8000,0.8543103448275862,0.90503408745311,11.4947635,0.1266112
16,False,Leaky ReLU,cielab,9000,0.8120689655172414,0.8715796972935284,15.0602925,0.1366863
18,False,Leaky ReLU,cielab,10000,0.7508620689655172,0.8104604184875803,19.4655781,0.1504043
19,False,Leaky ReLU,hsv,1000,0.9646551724137932,0.9780950050683352,0.2433021,0.0208552
21,False,Leaky ReLU,hsv,2000,0.9551724137931036,0.9719137334405256,0.8165475000000001,0.0440035
23,False,Leaky ReLU,hsv,3000,0.9706896551724138,0.9812450627424936,1.6599818000000002,0.0479615
25,False,Leaky ReLU,hsv,4000,0.975,0.984358768219791,2.8653790000000003,0.0646415
27,False,Leaky ReLU,hsv,5000,0.978448275862069,0.9864895662204202,4.3828059,0.0822658
29,False,Leaky ReLU,hsv,6000,0.978448275862069,0.9867468279212834,6.583723,0.0983292
31,False,Leaky ReLU,hsv,7000,0.9793103448275862,0.9873438428466564,8.777663200000001,0.1115131
33,False,Leaky ReLU,hsv,8000,0.9801724137931036,0.9883267503233248,11.3921857,0.124475
35,False,Leaky ReLU,hsv,9000,0.978448275862069,0.9871327204725786,14.895358900000002,0.1384306
37,False,Leaky ReLU,hsv,10000,0.9793103448275862,0.9874724736970883,18.8934371,0.1566695
38,False,Leaky ReLU,rgb,1000,0.9241379310344828,0.945673302390528,0.2399987,0.0179981
40,False,Leaky ReLU,rgb,2000,0.9215517241379312,0.9439645817206684,0.7925849,0.0359662
42,False,Leaky ReLU,rgb,3000,0.9482758620689656,0.9679093991401309,1.6159189,0.0520033
44,False,Leaky ReLU,rgb,4000,0.9629310344827586,0.9767723443671572,2.8293044000000003,0.0680438
46,False,Leaky ReLU,rgb,5000,0.9698275862068966,0.9811625712188472,4.3678825,0.0840406
48,False,Leaky ReLU,rgb,6000,0.9698275862068966,0.9815484637701424,6.6542629,0.1090722
50,False,Leaky ReLU,rgb,7000,0.9663793103448276,0.977944302271639,8.4805729,0.1102976
52,False,Leaky ReLU,rgb,8000,0.9663793103448276,0.9792890349190811,11.351745,0.1305345
54,False,Leaky ReLU,rgb,9000,0.9655172413793104,0.9786920199937084,14.957585300000002,0.1395958
56,False,Leaky ReLU,rgb,10000,0.9646551724137932,0.9786095284700618,18.8374189,0.1542561
57,False,Logistic,cielab,1000,0.4077586206896552,0.4245379150764331,0.29718,0.0231357
59,False,Logistic,cielab,2000,0.6870689655172414,0.7697110241367038,0.875722,0.0886675
61,False,Logistic,cielab,3000,0.6387931034482759,0.7035644624461297,1.8533089,0.1170277
