,lbp,activation function,color space,hidden nodes,accuracy,balanced accuracy,average f1,training time,testing time
0,False,Leaky ReLU,cielab,1000,0.9824399260628466,0.9895340084429545,0.9843290898902554,0.3253392,0.0279597
1,False,Leaky ReLU,cielab,1500,0.9819778188539742,0.9888455127380006,0.984120464969903,0.5910119,0.045002900000000005
2,False,Leaky ReLU,cielab,2000,0.977818853974122,0.9858220619923594,0.9816454045094233,0.9599988,0.058557200000000004
3,False,Leaky ReLU,cielab,2500,0.9219038817005545,0.9397524981618073,0.938287991069527,1.4390782000000002,0.07743030000000001
4,False,Leaky ReLU,cielab,3000,0.9061922365988909,0.9238352412548465,0.9110987957637284,2.0404731000000003,0.09195880000000001
5,False,Leaky ReLU,cielab,3500,0.8299445471349353,0.8579452319300829,0.8478837990965704,2.6177216000000003,0.11085080000000001
6,False,Leaky ReLU,cielab,4000,0.6478743068391867,0.6701616934783248,0.6911517122207734,3.3167525,0.1318224
7,False,Leaky ReLU,cielab,4500,0.6427911275415896,0.6704034427829356,0.6972460795672709,4.221495200000001,0.1380354
8,False,Leaky ReLU,cielab,5000,0.31608133086876156,0.2819818402239962,0.3259042516361178,5.1579354,0.19984980000000002
9,False,Leaky ReLU,cielab,5500,0.7162661737523105,0.7445898563222342,0.7394624275433095,6.092516600000001,0.1667866
10,False,Leaky ReLU,cielab,6000,0.5175600739371534,0.5360744865510718,0.5774833028911502,7.245299200000001,0.1810585
11,False,Leaky ReLU,cielab,6500,0.48428835489833644,0.49057335824613607,0.5324945041316124,8.5796317,0.19600130000000002
12,False,Leaky ReLU,cielab,7000,0.7717190388170055,0.8072646793658148,0.7958104329849238,9.970897200000001,0.2309951
13,False,Leaky ReLU,cielab,7500,0.7416820702402958,0.7647009381706878,0.7917983130590207,11.7849363,0.33373440000000004
14,False,Leaky ReLU,cielab,8000,0.7426062846580407,0.7778061206680003,0.7450140520281424,14.3088583,0.24763960000000002
15,False,Leaky ReLU,cielab,8500,0.5489833641404805,0.5739149813776316,0.6056775018288256,15.7323196,0.2750819
16,False,Leaky ReLU,cielab,9000,0.6266173752310537,0.6414818877073251,0.6645793483278699,19.4149211,0.29743040000000004
17,False,Leaky ReLU,cielab,9500,0.8322550831792976,0.8625786446289954,0.8474240750816596,19.423091200000002,0.28718940000000004
18,False,Leaky ReLU,cielab,10000,0.8419593345656192,0.8659792362876046,0.8567538315224434,21.5386008,0.31748600000000005
19,False,Leaky ReLU,hsv,1000,0.9842883548983364,0.9894574491063093,0.986876224337643,0.3213992,0.032000100000000004
20,False,Leaky ReLU,hsv,1500,0.9842883548983364,0.9889753087229473,0.9874692112337475,0.6309413,0.0480015
21,False,Leaky ReLU,hsv,2000,0.9768946395563771,0.9833549738045784,0.9811278420420484,0.9579977000000001,0.06100100000000001
22,False,Leaky ReLU,hsv,2500,0.977818853974122,0.9842785420960288,0.9829379969740526,1.4047092,0.0759882
23,False,Leaky ReLU,hsv,3000,0.9718114602587801,0.9788775307104183,0.9775803615933123,2.0470419,0.0915287
24,False,Leaky ReLU,hsv,3500,0.9805914972273567,0.9858449922137826,0.9851421121034777,2.6774812000000003,0.1040027
25,False,Leaky ReLU,hsv,4000,0.9824399260628466,0.9878574402669047,0.9874370824500789,3.4130396000000003,0.1214515
26,False,Leaky ReLU,hsv,4500,0.9810536044362292,0.9868693427439492,0.9848282713466501,4.3499862,0.1360082
27,False,Leaky ReLU,hsv,5000,0.9856746765249538,0.9901599957746132,0.9891405455152441,5.0339162,0.15099970000000001
28,False,Leaky ReLU,hsv,5500,0.9875231053604436,0.9916449785061923,0.9909717643416837,6.0475197000000005,0.16413840000000002
29,False,Leaky ReLU,hsv,6000,0.9893715341959335,0.9930408008614304,0.9922841529830023,7.1972598,0.1849847
30,False,Leaky ReLU,hsv,6500,0.9898336414048059,0.9940116746478381,0.9930469044151897,8.612153600000001,0.1991146
31,False,Leaky ReLU,hsv,7000,0.9907578558225508,0.9946086895732111,0.9939170097490937,10.628950900000001,0.30539520000000003
32,False,Leaky ReLU,hsv,7500,0.9893715341959335,0.9937774826103674,0.992550657707526,11.482914200000002,0.367999
33,False,Leaky ReLU,hsv,8000,0.988909426987061,0.9936076059981126,0.9928534748004847,14.142803,0.2600369
34,False,Leaky ReLU,hsv,8500,0.9893715341959335,0.9938417980355834,0.9931881585757919,16.9825594,0.27281310000000003
35,False,Leaky ReLU,hsv,9000,0.9898336414048059,0.9940116746478381,0.9933645960333413,20.0872639,0.2889988
36,False,Leaky ReLU,hsv,9500,0.9884473197781886,0.9931804676849942,0.9916146450986553,19.7966422,0.3000727
