,lbp,activation function,color space,hidden nodes,accuracy,balanced accuracy,average f1,training time,testing time
0,False,Leaky ReLU,cielab,1000,0.9824399260628466,0.9895340084429544,0.9843290898902554,0.3253392,0.0279597
2,False,Leaky ReLU,cielab,2000,0.977818853974122,0.9858220619923594,0.9816454045094232,0.9599988,0.0585572
4,False,Leaky ReLU,cielab,3000,0.9061922365988908,0.9238352412548464,0.9110987957637284,2.0404731000000003,0.0919588
6,False,Leaky ReLU,cielab,4000,0.6478743068391867,0.6701616934783248,0.6911517122207734,3.3167525,0.1318224
8,False,Leaky ReLU,cielab,5000,0.3160813308687615,0.2819818402239962,0.3259042516361178,5.1579354,0.1998498
10,False,Leaky ReLU,cielab,6000,0.5175600739371534,0.5360744865510718,0.5774833028911502,7.245299200000001,0.1810585
12,False,Leaky ReLU,cielab,7000,0.7717190388170055,0.8072646793658148,0.7958104329849238,9.9708972,0.2309951
14,False,Leaky ReLU,cielab,8000,0.7426062846580407,0.7778061206680003,0.7450140520281424,14.3088583,0.2476396
16,False,Leaky ReLU,cielab,9000,0.6266173752310537,0.6414818877073251,0.6645793483278699,19.4149211,0.2974304
18,False,Leaky ReLU,cielab,10000,0.8419593345656192,0.8659792362876046,0.8567538315224434,21.5386008,0.317486
19,False,Leaky ReLU,hsv,1000,0.9842883548983364,0.9894574491063092,0.986876224337643,0.3213992,0.0320001
21,False,Leaky ReLU,hsv,2000,0.9768946395563772,0.9833549738045784,0.9811278420420484,0.9579977,0.061001
23,False,Leaky ReLU,hsv,3000,0.97181146025878,0.9788775307104184,0.9775803615933124,2.0470419,0.0915287
25,False,Leaky ReLU,hsv,4000,0.9824399260628466,0.9878574402669048,0.9874370824500788,3.4130396000000003,0.1214515
27,False,Leaky ReLU,hsv,5000,0.9856746765249538,0.9901599957746132,0.989140545515244,5.0339162,0.1509997
29,False,Leaky ReLU,hsv,6000,0.9893715341959336,0.9930408008614304,0.9922841529830024,7.1972598,0.1849847
31,False,Leaky ReLU,hsv,7000,0.9907578558225508,0.9946086895732112,0.9939170097490936,10.6289509,0.3053952
33,False,Leaky ReLU,hsv,8000,0.988909426987061,0.9936076059981126,0.9928534748004848,14.142803,0.2600369
35,False,Leaky ReLU,hsv,9000,0.989833641404806,0.994011674647838,0.9933645960333412,20.0872639,0.2889988
37,False,Leaky ReLU,hsv,10000,0.9884473197781886,0.99324478311021,0.992067283407892,23.509747500000003,0.3229947
38,False,Leaky ReLU,rgb,1000,0.9399260628465804,0.9564205140839536,0.9441113184564331,0.3167714,0.0319986
40,False,Leaky ReLU,rgb,2000,0.9440850277264324,0.9566292239927212,0.9477509225356272,0.9530317,0.0599635
42,False,Leaky ReLU,rgb,3000,0.9426987060998152,0.9564845918110584,0.9474246388134914,2.0238201,0.0937932
44,False,Leaky ReLU,rgb,4000,0.94547134935305,0.9577021471594648,0.9509357513140396,3.3519026000000003,0.123331
46,False,Leaky ReLU,rgb,5000,0.9565619223659888,0.9664021147773132,0.9595061191482028,5.0329994000000005,0.1569978
48,False,Leaky ReLU,rgb,6000,0.9625693160813308,0.9726591747604229,0.9671471715355464,7.182168300000001,0.1827022
50,False,Leaky ReLU,rgb,7000,0.9653419593345656,0.9749548894199146,0.9684599646355108,9.8903136,0.2145277
52,False,Leaky ReLU,rgb,8000,0.9685767097966728,0.97865585165312,0.9715205196693192,14.1873104,0.278349
54,False,Leaky ReLU,rgb,9000,0.972735674676525,0.9810086021705596,0.9766461693195309,19.3897003,0.2843626
56,False,Leaky ReLU,rgb,10000,0.9713493530499075,0.9801838554342546,0.9745154670584076,23.0566748,0.3440282
57,False,Logistic,cielab,1000,0.737985212569316,0.7976387222440584,0.7464923152977107,0.4330247,0.0739927
59,False,Logistic,cielab,2000,0.4902957486136783,0.5297104723656535,0.5291850429929121,1.2236961000000002,0.1360022
61,False,Logistic,cielab,3000,0.5138632162661737,0.5641985445815212,0.5259858581938648,2.3312338,0.2340027
63,False,Logistic,cielab,4000,0.4782809611829944,0.52521995781745,0.5075624674534422,3.8100799,0.2846099
65,False,Logistic,cielab,5000,0.6848428835489834,0.7420269891099452,0.6933396202674088,5.76623,0.3490612
67,False,Logistic,cielab,6000,0.5318853974121996,0.5719190524220268,0.5380670545251847,8.031985200000001,0.4576211
69,False,Logistic,cielab,7000,0.5619223659889094,0.5785095500072919,0.5664837570135749,10.979325,0.5229075000000001
71,False,Logistic,cielab,8000,0.6464879852125693,0.7050848864795654,0.670712845614499,14.5966693,0.5829969
73,False,Logistic,cielab,9000,0.2449168207024029,0.257809326525261,0.2883668866927036,18.389455700000003,0.6441833
75,False,Logistic,cielab,10000,0.6700554528650647,0.7353236873851603,0.6851878418093883,23.8528312,0.7289998000000001
